City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,3.6,81,100,16.25,TF,1691444815
1,grytviken,-54.2811,-36.5092,-6.35,82,67,4.4,GS,1691444815
2,sarmiento,-45.5882,-69.07,6.49,56,100,1.95,AR,1691444815
3,afaahiti,-17.75,-149.2833,27.93,79,97,5.51,PF,1691444815
4,taoudenni,22.6783,-3.9836,40.53,17,0,4.44,ML,1691444815
5,puerto ayora,-0.7393,-90.3518,29.98,85,86,3.58,EC,1691444816
6,strezhevoy,60.7333,77.5889,12.7,92,66,2.48,RU,1691444816
7,bilibino,68.0546,166.4372,5.8,72,64,1.84,RU,1691444816
8,kharp,66.8014,65.8081,16.07,95,8,3.23,RU,1691444816
9,hermanus,-34.4187,19.2345,13.78,83,0,2.31,ZA,1691444816
10,primorsk,46.7348,36.3443,22.6,58,0,4.72,UA,1691444816
11,pauini,-7.7136,-66.9764,33.26,37,64,1.18,BR,1691444816
12,bethel,41.3712,-73.414,25.2,86,100,2.06,US,1691444817
13,taro,-8.3862,115.28,19.0,84,74,0.3,ID,1691444817
14,bubaque,11.2833,-15.8333,27.36,82,100,4.81,GW,1691444817
15,codrington,-38.2667,141.9667,4.99,94,6,2.8,AU,1691444817
16,west livingston,30.6983,-95.0019,40.03,43,26,1.34,US,1691444817
17,punta arenas,-53.15,-70.9167,1.78,86,100,2.25,CL,1691444543
18,invercargill,-46.4,168.35,6.12,82,84,2.68,NZ,1691444817
19,adamstown,-25.066,-130.1015,20.55,73,71,3.41,PN,1691444817
20,isafjordur,66.0755,-23.124,11.96,62,45,1.29,IS,1691444818
21,nishinoomote,30.7333,131.0,27.14,90,100,20.38,JP,1691444818
22,andergrove,-21.0833,149.1833,17.58,80,17,5.72,AU,1691444818
23,morehead city,34.7229,-76.726,32.01,82,0,9.26,US,1691444810
24,richards bay,-28.783,32.0377,16.79,93,6,1.8,ZA,1691444818
25,sidi aissa,35.8855,3.7724,26.5,43,0,3.31,DZ,1691444818
26,enewetak,11.3474,162.3373,26.3,87,100,5.45,MH,1691444818
27,waitangi,-43.9535,-176.5597,9.34,71,100,6.19,NZ,1691444819
28,thompson,55.7435,-97.8558,19.09,55,75,3.6,CA,1691444819
29,ilulissat,69.2167,-51.1,11.01,50,20,1.54,GL,1691444819
30,ketchikan,55.3422,-131.6461,16.26,94,100,6.69,US,1691444819
31,constantia,44.1833,28.65,20.39,51,0,2.47,RO,1691444819
32,preobrazheniye,42.9019,133.9064,17.33,79,95,6.23,RU,1691444819
33,whitehorse,60.7161,-135.0538,23.9,41,75,4.63,CA,1691444587
34,asau,46.4333,26.4,16.51,76,61,2.13,RO,1691444819
35,pisco,-13.7,-76.2167,21.03,73,75,5.66,PE,1691444820
36,lazaro cardenas,17.9583,-102.2,32.08,61,7,5.8,MX,1691444820
37,drammen,59.7439,10.2045,16.55,97,100,2.53,NO,1691444717
38,impfondo,1.6381,18.0667,21.18,96,100,0.56,CG,1691444820
39,anna regina,7.2644,-58.5077,28.07,77,22,3.58,GY,1691444820
40,blackmans bay,-43.0167,147.3167,5.85,92,27,2.61,AU,1691444820
41,bereznik,62.8551,42.7072,13.34,85,0,2.38,RU,1691444820
42,karwar,14.8,74.1333,25.13,87,100,3.24,IN,1691444821
43,lompoc,34.6391,-120.4579,26.03,74,100,3.6,US,1691444821
44,jamestown,42.097,-79.2353,22.77,91,100,4.12,US,1691444629
45,nacala,-14.5428,40.6728,21.0,87,2,3.51,MZ,1691444821
46,la passe,45.5549,-0.8967,18.32,76,2,3.81,FR,1691444821
47,longyearbyen,78.2186,15.6401,7.91,87,75,3.09,SJ,1691444821
48,yellowknife,62.456,-114.3525,20.29,42,40,4.92,CA,1691444703
49,vorgashor,67.5833,63.95,10.87,93,26,3.9,RU,1691444821
50,puerto natales,-51.7236,-72.4875,0.05,88,100,0.88,CL,1691444822
51,edinburgh of the seven seas,-37.0676,-12.3116,13.71,78,72,15.29,SH,1691444822
52,saipan,15.1355,145.701,26.47,100,40,0.0,MP,1691444822
53,khemisset,33.6667,-6.25,29.18,48,100,2.68,MA,1691444822
54,bayganin,48.6947,55.8742,23.87,49,16,2.4,KZ,1691444822
55,west end,26.6833,-78.9667,31.99,73,6,3.65,BS,1691444822
56,imeko,7.45,2.85,22.33,96,51,2.86,NG,1691444823
57,bredasdorp,-34.5322,20.0403,10.06,87,0,2.34,ZA,1691444823
58,lihue,21.9789,-159.3672,28.58,85,75,7.72,US,1691444823
59,avarua,-21.2078,-159.775,24.03,69,88,3.09,CK,1691444824
60,ylojarvi,61.5563,23.5961,24.95,74,0,6.26,FI,1691444824
61,muroto-misakicho,33.2833,134.15,27.35,91,99,10.96,JP,1691444824
62,margaret river,-33.95,115.0667,15.31,88,98,9.81,AU,1691444824
63,iskenderun,36.5872,36.1735,28.46,86,12,2.88,TR,1691444824
64,novyy urengoy,66.0833,76.6333,16.38,60,27,2.74,RU,1691444825
65,yanbu,24.0891,38.0637,31.02,74,0,1.03,SA,1691444825
66,ancud,-41.8697,-73.8203,8.69,81,100,2.43,CL,1691444825
67,chonchi,-42.6128,-73.8092,12.56,90,99,0.66,CL,1691444825
68,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,77,0,3.0,RU,1691444825
69,coahuayana de hidalgo,18.7,-103.6583,33.31,54,5,3.14,MX,1691444825
70,letterkenny,54.95,-7.7333,12.94,94,27,1.38,IE,1691444826
71,az zuwaytinah,30.9522,20.1202,26.33,66,0,6.79,LY,1691444826
72,dudinka,69.4058,86.1778,15.9,70,86,2.6,RU,1691444826
73,brookings,44.3114,-96.7984,25.66,51,0,2.57,US,1691444826
74,laguna,38.421,-121.4238,40.3,26,0,3.09,US,1691444826
